1, 93, 1647, 1208, 1764, 1367
1, 47, 1615, 750, 1774, 1029
1, 47, 1488, 773, 1654, 1044
2, 29, 1647, 1208, 1764, 1367
2, 93, 1615, 750, 1774, 1029
2, 93, 1488, 773, 1654, 1044
3, 77, 1647, 1208, 1764, 1367
3, 77, 1615, 750, 1774, 1029
3, 49, 1488, 773, 1654, 1044
4, 57, 1647, 1208, 1764, 1367
4, 29, 1615, 750, 1774, 1029
4, 98, 1488, 773, 1654, 1044
5, 94, 1647, 1208, 1764, 1367
5, 93, 1615, 750, 1774, 1029
5, 29, 1488, 773, 1654, 1044
14, 93, 1647, 1208, 1764, 1367
14, 38, 1615, 750, 1774, 1029
14, 14, 1488, 773, 1654, 1044
15, 97, 1647, 1208, 1764, 1367
15, 71, 1615, 750, 1774, 1029
15, 96, 1488, 773, 1654, 1044
16, 77, 1647, 1208, 1764, 1367
16, 48, 1615, 750, 1774, 1029
16, 94, 1488, 773, 1654, 1044
17, 86, 1647, 1208, 1764, 1367
17, 97, 1615, 750, 1774, 1029
17, 93, 1488, 773, 1654, 1044
18, 94, 1647, 1208, 1764, 1367
18, 49, 1615, 750, 1774, 1029
18, 75, 1488, 773, 1654, 1044
19, 38, 1647, 1208, 1764, 1367
19, 93, 1615, 750, 1774, 1029
19, 93, 1488, 773, 1654, 1044
20, 96, 1647, 1208, 1764, 1367
20, 94, 1615, 750, 1774, 1029
20, 75, 1488, 773, 1654, 1044
26, 14, 1647, 1208, 1764, 1367
26, 97, 1615, 750, 1774, 1029
26, 98, 1488, 773, 1654, 1044
28, 16, 1647, 1208, 1764, 1367
28, 93, 1615, 750, 1774, 1029
28, 93, 1488, 773, 1654, 1044
29, 93, 1647, 1208, 1764, 1367
29, 97, 1615, 750, 1774, 1029
29, 19, 1488, 773, 1654, 1044
31, 79, 1647, 1208, 1764, 1367
31, 93, 1615, 750, 1774, 1029
31, 93, 1488, 773, 1654, 1044
33, 48, 1647, 1208, 1764, 1367
33, 16, 1615, 750, 1774, 1029
33, 48, 1488, 773, 1654, 1044
34, 86, 1647, 1208, 1764, 1367
34, 48, 1615, 750, 1774, 1029
34, 2, 1488, 773, 1654, 1044
35, 86, 1647, 1208, 1764, 1367
35, 97, 1615, 750, 1774, 1029
35, 64, 1488, 773, 1654, 1044
36, 96, 1647, 1208, 1764, 1367
36, 48, 1615, 750, 1774, 1029
36, 96, 1488, 773, 1654, 1044
37, 32, 1647, 1208, 1764, 1367
37, 11, 1615, 750, 1774, 1029
37, 82, 1488, 773, 1654, 1044
38, 49, 1647, 1208, 1764, 1367
38, 55, 1615, 750, 1774, 1029
38, 57, 1488, 773, 1654, 1044
39, 57, 1647, 1208, 1764, 1367
39, 75, 1615, 750, 1774, 1029
39, 94, 1488, 773, 1654, 1044
40, 86, 1647, 1208, 1764, 1367
40, 79, 1615, 750, 1774, 1029
40, 15, 1488, 773, 1654, 1044
41, 75, 1647, 1208, 1764, 1367
41, 79, 1615, 750, 1774, 1029
41, 79, 1488, 773, 1654, 1044
42, 28, 1647, 1208, 1764, 1367
42, 53, 1615, 750, 1774, 1029
42, 75, 1488, 773, 1654, 1044
43, 92, 1647, 1208, 1764, 1367
43, 64, 1615, 750, 1774, 1029
43, 97, 1488, 773, 1654, 1044
44, 89, 1647, 1208, 1764, 1367
44, 89, 1615, 750, 1774, 1029
